delegate,voting_power,th_vp,ch_member_r2,ch_vp_r2,ch_member_r3,ch_vp_r3,ch_member_r4,ch_vp_r4,gc_member_s3,gc_vp_s3,gc_member_s4,gc_vp_s4,gc_member_s5,gc_vp_s5,gc_member_mm_s5,gc_vp_mm_s5,sc_member_s5,sc_vp_s5,coc_member_s5,coc_vp_s5,dab_member_s5,dab_vp_s5
0x2345f4e0cdf00d427d773413dd4617d0156c29a9,44336.14982890908,0.1257183136820396,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xc20687cd6fff6bcfe8032fda567c35f55543c2ac,41172.42516511911,0.1167473468475083,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x265c328bf0cad7f6fcddd375a4c02754963e3a2e,38650.52883735853,0.1095963300174393,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x5f367bf126fda56d88ba88a8978d5496c66b3569,33104.08889935301,0.0938690041527539,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x68d36dcbdd7bbf206e27134f28103abe7cf972df,32431.79950466604,0.091962679644818,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xe30e37219727765fce5c07f8b5e6d8c659b7f7fb,32059.3350685252,0.0909065301821593,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x7e188fce356695d37f67153aec2112d197ef405c,26024.813493559257,0.0737952140392332,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x84f918ba377cbd0385b4ef28f6b2b6d7e9b54a4b,25389.245227670224,0.0719930149099509,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x9e735cad3ecce6214b86f8d7602260ab5e62dcda,23633.523314684982,0.0670145402555914,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,22822.29135701933,0.0647142342047443,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xa018feb6840781436e5440de92f91659bce036b6,22489.0887670909,0.0637694145061024,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xcf2b7c6bc98bfe0d6138a25a3b6162b51f75e05d,20698.45934395376,0.0586919571180579,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x33d66941465ac776c38096cb1bc496c673ae7390,20160.13279201739,0.0571654938013091,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x152ac2bc1821c5c9eca56d1f35d8b0d8b61187f5,20001.79950466604,0.0567165284770227,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x7982afab21fb7ec585d762ad5ed1a72194982fd5,19472.594786375164,0.0552159307698955,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x5064fcca51e933d4bb45c92e9ab869cd5428d38b,18644.816689930583,0.0528687069629224,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xe21723c250d06f5ee67bc9adef211b65e6099263,18000.002017881805,0.0510402889897733,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x682c4184286415344a35a0ff6699bb8edabddc17,17967.24363055787,0.0509474002470837,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xfc3551f3b51f27ca60efb25f45ed95d4e80e7071,17641.038235225118,0.0500224215925665,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xaec80b4fbe227198720b1d1b82a12968baa0b144,17006.705024990028,0.0482237245516414,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0xf7463e7335033586683ac1f3df3080a0b38babe9,17006.705024990028,0.0482237245516414,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
0x217f5f191b79c5f2d536610ee788775d4d881e86,16452.970609597876,0.0466535711395961,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0
